sample_ID,soil_type,plant_rep,micro_trt,tray_ID,number_nodules,nod_mass_mg,per_nod_mg,nod_CFU,total_bac_soil_CFU,rhiz_CFU_soil,above_biomass_mg,chlor_content,leaf_chlor_measure,leaf_count
AR1,SV,SV6,Rht,TB,20,28,1.4,NA,,,7,26.5,2,3
AR2,SV,SV1,Rht,TB,18,2,0.111111111,NA,,,9,26.9,4,5
AR3,SV,SV7,Rht,TB,17,2,0.117647059,1.53E+01,,,10,27.5,3,4
AP1,SV,SV2,Rht+phg,TB,10,1,0.1,7.94E+00,,,15,24.1,3,5
AP2,SV,SV8,Rht+phg,TB,9,0,0,0.00E+00,,,4,31,1,4
AP3,SV,SV3,Rht+phg,TB,13,2,0.153846154,1.40E+01,,,18,26.1,2,5
AA1,SV,SV9,Apo,TC,0,NA,NA,NA,,,6,8.6,1,5
AA2,SV,SV5,Apo,TE,0,NA,NA,NA,,,7,10.4,3,3
AA3,SV,SV4,Apo,TE,0,NA,NA,NA,,,30,2.9,1,3
BR1,VTP,VTP5,Rht,TA,NA,NA,NA,NA,,,NA,NA,NA,NA
BR2,VTP,VTP6,Rht,TA,20,8,0.421052632,3.03E+01,,,24,31,3,5
BR3,VTP,VTP7,Rht,TA,6,1,0.166666667,6.81E+00,,,5,33.6,1,4
BP1,VTP,VTP8,Rht+phg,TA,8,2,0.25,1.12E+01,,,14,28.8,2,4
BP2,VTP,VTP9,Rht+phg,TA,8,5,0.625,NA,,,7,20.1,1,3
BP3,VTP,VTP10,Rht+phg,TA,3,4,1.333333333,1.86E+00,,,7,27.6,1,4
BA1,VTP,VTP1,Apo,TE,0,NA,NA,NA,,,3,0,NA,4
BA2,VTP,VTP2,Apo,TE,0,NA,NA,NA,,,1,0,NA,3
BA3,VTP,VTP4,Apo,TE,0,NA,NA,NA,,,6,12.6,3,4
CR1,MMT,MMT6,Rht,TC,37,5,0.135135135,3.66E+01,,,36,35.2,NA,6
CR2,MMT,MMT1,Rht,TC,79,26,0.333333333,1.21E+02,,,97,37.7,6,8
CR3,MMT,MMT7,Rht,TC,47,10,0.212765957,6.13E+01,,,65,36,5,7
CP1,MMT,MMT2,Rht+phg,TC,41,3,0.073170732,2.53E+01,,,54,35,5,6
CP2,MMT,MMT5,Rht+phg,TD,51,11,0.215686275,6.69E+01,,,86,36.4,NA,8
CP3,MMT,MMT10,Rht+phg,TD,34,3,0.088235294,2.45E+01,,,34,31.6,3,6
CA1,MMT,MMT3,Apo,TD,0,NA,NA,NA,,,13,30.1,NA,4
CA2,MMT,MMT9,Apo,TD,0,NA,NA,NA,,,10,22.4,3,4
CA3,MMT,MMT8,Apo,TD,0,NA,NA,NA,,,14,32.4,4,5
